# wavelength flux
3650.81803 2.68211e-18
3652.78097 2.76997e-18
3654.75392 2.87102e-18
3656.71686 2.95302e-18
3658.68982 2.65172e-18
3660.65276 2.78485e-18
3662.62571 3.19798e-18
3664.59867 3.25752e-18
3666.56161 2.86053e-18
3668.53456 2.55321e-18
3670.49750 2.89245e-18
3672.47046 3.12559e-18
3674.44341 2.94672e-18
3676.40635 2.69713e-18
3678.37930 2.53782e-18
3680.34225 2.22557e-18
3682.31520 2.48921e-18
3684.27814 3.16197e-18
3686.25110 2.94257e-18
3688.22405 2.59134e-18
3690.18699 2.59086e-18
3692.15995 2.62310e-18
3694.12289 2.88978e-18
3696.09584 2.90968e-18
3698.06880 2.71320e-18
3700.03174 3.06004e-18
3702.00469 3.47401e-18
3703.96763 3.24151e-18
3705.94059 2.92473e-18
3707.90353 3.00350e-18
3709.87648 3.20866e-18
3711.84944 3.36525e-18
3713.81238 3.53430e-18
3715.78533 3.63579e-18
3717.74827 3.87178e-18
3719.72123 3.72975e-18
3721.69418 3.32965e-18
3723.65712 3.76136e-18
3725.63008 3.94715e-18
3727.59302 3.85639e-18
3729.56597 3.94554e-18
3731.52891 3.72293e-18
3733.50187 3.45082e-18
3735.47482 3.74776e-18
3737.43776 4.12325e-18
3739.41071 4.19858e-18
3741.37366 4.00260e-18
3743.34661 3.86203e-18
3745.31957 3.64569e-18
3747.28251 3.35827e-18
3749.25546 3.32443e-18
3751.21840 3.42236e-18
3753.19136 3.33207e-18
3755.15430 3.37483e-18
3757.12725 3.27334e-18
3759.10021 3.01408e-18
3761.06315 2.94223e-18
3763.03610 2.64766e-18
3764.99904 2.78950e-18
3766.97200 2.92441e-18
3768.93494 2.40439e-18
3770.90789 1.95456e-18
3772.88085 1.83124e-18
3774.84379 1.81076e-18
3776.81674 1.65837e-18
3778.77968 1.51671e-18
3780.75264 1.58923e-18
3782.72559 1.42892e-18
3784.68853 1.37301e-18
3786.66149 1.47227e-18
3788.62442 1.38438e-18
3790.59738 1.18785e-18
3792.56032 9.94401e-19
3794.53328 1.01622e-18
3796.50623 1.16043e-18
3798.46917 9.59590e-19
3800.44213 8.03901e-19
3802.40507 6.34679e-19
3804.37802 7.39803e-19
3806.35098 1.03327e-18
3808.31392 9.95869e-19
3810.28687 1.10537e-18
3812.24981 1.03200e-18
3814.22277 1.01657e-18
3816.18570 7.61242e-19
3818.15866 8.05343e-19
